log,peak,share_pct,denominator,binding_soft,fate,host_pids,reached_verdict,signal,started,resource_casualties,invocations
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN1-1422/E5.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN1-1422/E7.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN1-1422/E6.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN1-1422/E8P.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E10.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E2.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E3.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E4.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E6.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E8P.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E8.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs-RUN2/E9.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs/E12.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/private/tmp/claude-501/-Users-dabrams-playhead/00c61789-f025-4a31-a40c-9e107a69fe15/scratchpad/et2d/mutlogs/E4.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,10,-1,1
/Users/dabrams/playhead/.worktrees/vk68m/artifacts/scoped-r3fix.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,4,-1,1
/Users/dabrams/playhead/.worktrees/vk68m/artifacts/scoped-round1fix3.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,93,-1,1
/Users/dabrams/playhead/.worktrees/vk68m/artifacts/scoped-errno4.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,6,-1,1
/Users/dabrams/playhead/.worktrees/vk68m/artifacts/mutant-recapture.log,6,-1.00,kern.maxfilesperproc,-1,COMPLETE,1,True,,4,-1,1
